date,#covid19,#crypto,#bitcoin,#ukraine,#travel,#mondaymotivation,#christmas,#iran,#realestate
29/08/2013,0,0,0,0,4,0,0,0,0
30/08/2013,0,0,0,0,7,0,1,0,0
31/08/2013,0,0,0,0,4,0,1,0,1
1/9/2013,0,0,0,0,4,0,0,0,0
2/9/2013,0,0,0,0,1,0,0,0,0
3/9/2013,0,0,0,0,2,0,1,0,0
4/9/2013,0,0,0,0,3,0,0,0,1
5/9/2013,0,0,0,0,2,0,0,0,3
6/9/2013,0,0,0,1,3,0,1,0,1
8/9/2013,0,0,0,0,0,0,0,0,2
9/9/2013,0,0,0,0,1,0,0,0,0
10/9/2013,0,0,0,0,7,0,0,0,0
11/9/2013,0,0,0,0,1,0,2,0,0
12/9/2013,0,0,0,0,5,0,0,0,2
13/09/2013,0,0,0,0,2,0,0,0,0
14/09/2013,0,0,0,0,2,0,0,0,0
15/09/2013,0,0,0,0,2,0,1,0,0
16/09/2013,0,0,0,0,2,0,0,0,1
17/09/2013,0,0,0,0,2,0,0,0,0
18/09/2013,0,0,0,0,0,0,0,0,1
19/09/2013,0,0,0,1,8,0,0,0,2
20/09/2013,0,0,0,1,1,0,0,0,1
21/09/2013,0,0,0,0,2,0,0,0,1
23/09/2013,0,0,0,0,2,0,0,0,0
24/09/2013,0,0,0,0,3,0,0,0,0
25/09/2013,0,0,0,0,7,0,0,2,0
26/09/2013,0,0,0,0,4,0,1,1,0
27/09/2013,0,0,0,0,5,0,0,1,0
28/09/2013,0,0,0,0,0,0,1,0,0
29/09/2013,0,0,0,0,4,0,0,0,0
30/09/2013,0,0,0,1,2,0,0,0,0
1/10/2013,0,0,0,0,3,0,0,0,2
2/10/2013,0,0,0,0,4,0,0,0,0
3/10/2013,0,0,0,0,3,0,0,0,0
4/10/2013,0,0,0,0,1,0,0,0,0
5/10/2013,0,0,0,0,6,0,0,0,1
6/10/2013,0,0,0,0,1,0,1,0,0
7/10/2013,0,0,0,0,3,0,0,0,0
8/10/2013,0,0,0,0,3,0,0,0,0
9/10/2013,0,0,0,0,2,0,0,0,0
10/10/2013,0,0,0,0,1,0,2,0,2
11/10/2013,0,0,0,0,1,0,0,0,1
12/10/2013,0,0,0,0,1,0,1,0,0
15/10/2013,0,0,0,1,1,0,0,0,2
16/10/2013,0,0,0,0,3,0,0,0,1
17/10/2013,0,0,0,0,1,0,0,0,0
21/10/2013,0,0,0,0,1,0,0,0,0
22/10/2013,0,0,0,0,3,0,1,0,0
23/10/2013,0,0,0,1,1,0,2,0,1
24/10/2013,0,1,0,0,3,0,0,0,0
25/10/2013,0,0,0,0,4,0,1,0,1
26/10/2013,0,0,0,0,2,0,1,0,0
27/10/2013,0,0,0,0,4,0,2,0,0
28/10/2013,0,0,0,0,29,0,1,0,0
29/10/2013,0,0,0,0,16,0,6,0,1
30/10/2013,0,0,0,0,4,0,1,0,1
31/10/2013,0,0,0,0,4,0,0,0,0
1/11/2013,0,0,0,0,3,0,1,0,0
2/11/2013,0,0,0,0,0,0,0,0,1
3/11/2013,0,0,0,0,3,0,1,1,1
4/11/2013,0,0,0,0,10,0,2,0,0
5/11/2013,0,0,0,0,15,0,2,0,0
6/11/2013,0,0,0,0,14,0,4,0,2
7/11/2013,0,0,0,0,10,0,4,0,1
8/11/2013,0,0,0,0,10,0,2,0,2
9/11/2013,0,0,0,0,6,0,1,0,0
10/11/2013,0,0,1,0,2,0,2,0,0
11/11/2013,0,0,0,0,1,0,2,0,0
12/11/2013,0,0,0,0,2,0,1,7,2
13/11/2013,0,0,0,0,4,0,5,0,0
14/11/2013,0,0,0,0,1,0,7,1,0
15/11/2013,0,0,4,1,4,0,2,0,0
16/11/2013,0,0,3,0,2,0,4,1,0
17/11/2013,0,0,0,0,1,0,2,1,0
18/11/2013,0,0,4,0,1,0,4,0,0
19/11/2013,0,0,3,0,4,0,5,0,0
20/11/2013,0,0,4,0,1,0,8,0,0
21/11/2013,0,0,1,0,3,0,4,0,0
22/11/2013,0,0,3,0,2,0,2,0,0
23/11/2013,0,0,0,0,1,0,3,0,1
24/11/2013,0,0,0,0,2,0,6,4,0
25/11/2013,0,0,2,0,2,0,10,1,0
26/11/2013,0,0,3,0,4,0,4,0,3
27/11/2013,0,0,3,0,3,0,2,0,1
28/11/2013,0,0,0,0,2,0,3,0,0
29/11/2013,0,0,0,1,2,0,8,0,0
30/11/2013,0,0,1,0,0,0,2,0,0
1/12/2013,0,0,0,3,2,0,17,0,0
2/12/2013,0,0,3,3,9,1,18,1,1
3/12/2013,0,0,3,0,3,0,16,0,0
4/12/2013,0,0,4,0,2,0,12,0,4
5/12/2013,0,0,3,0,10,0,12,0,4
6/12/2013,0,0,2,0,3,0,14,0,10
7/12/2013,0,0,0,0,0,0,12,0,0
8/12/2013,0,0,1,0,0,0,9,0,0
9/12/2013,0,0,5,0,0,0,14,0,0
10/12/2013,0,0,1,1,3,0,16,0,1
11/12/2013,0,0,4,0,0,0,20,0,0
12/12/2013,0,0,5,2,3,0,26,0,0
13/12/2013,0,0,2,0,3,0,26,0,2
14/12/2013,0,0,1,0,0,0,18,0,0
15/12/2013,0,0,0,1,7,0,15,0,0
16/12/2013,0,0,3,0,2,0,17,1,1
17/12/2013,0,0,1,1,1,0,20,0,0
18/12/2013,0,0,2,0,2,0,23,0,0
19/12/2013,0,0,2,0,0,0,21,1,0
20/12/2013,0,0,2,0,2,0,34,0,0
21/12/2013,0,0,1,0,0,0,20,0,0
22/12/2013,0,0,0,1,1,0,21,0,0
23/12/2013,0,0,3,0,0,0,30,0,0
24/12/2013,0,1,4,0,0,0,49,0,0
25/12/2013,0,0,1,0,2,0,68,0,0
26/12/2013,0,0,2,0,1,0,19,0,0
27/12/2013,0,0,2,0,3,0,4,0,0
28/12/2013,0,0,0,0,3,0,4,0,0
29/12/2013,0,0,0,0,4,0,1,0,0
30/12/2013,0,0,3,0,6,0,1,0,0
31/12/2013,0,0,3,0,2,0,1,0,0
1/1/2014,0,0,0,0,5,0,0,0,1
2/1/2014,0,0,1,1,10,0,3,0,0
3/1/2014,0,0,2,0,3,0,3,0,0
4/1/2014,0,0,1,0,5,0,0,0,0
5/1/2014,0,0,0,0,3,0,0,0,0
6/1/2014,0,0,4,0,5,0,0,0,0
7/1/2014,0,0,4,0,1,0,0,0,0
8/1/2014,0,0,2,0,4,0,1,1,0
9/1/2014,0,0,2,0,1,0,1,2,1
10/1/2014,0,0,3,0,2,0,0,0,1
11/1/2014,0,0,1,0,3,0,1,1,2
12/1/2014,0,0,0,0,1,0,0,0,0
13/01/2014,0,0,1,0,3,0,0,0,0
14/01/2014,0,0,1,0,0,1,7,0,2
15/01/2014,0,1,1,0,5,0,2,0,0
16/01/2014,0,0,1,0,3,0,0,1,1
17/01/2014,0,0,3,0,4,0,1,1,3
18/01/2014,0,0,1,0,3,0,0,0,0
19/01/2014,0,1,0,0,3,0,0,0,0
20/01/2014,0,0,5,0,6,1,2,0,1
21/01/2014,0,0,4,1,3,0,1,0,1
22/01/2014,0,0,1,2,5,0,0,0,0
23/01/2014,0,1,3,3,1,0,0,3,2
24/01/2014,0,0,6,0,6,0,2,0,1
25/01/2014,0,0,1,2,6,0,1,0,0
26/01/2014,0,0,1,0,1,0,0,0,2
27/01/2014,0,0,5,0,2,1,2,0,3
28/01/2014,0,0,1,2,2,0,0,1,1
29/01/2014,0,1,1,1,4,0,0,0,2
30/01/2014,0,0,2,1,1,0,0,0,2
31/01/2014,0,0,4,0,3,0,0,0,1
1/2/2014,0,0,0,0,3,0,0,0,0
2/2/2014,0,0,1,0,0,0,0,0,0
3/2/2014,0,0,2,0,2,0,0,0,0
4/2/2014,0,0,2,2,2,0,0,0,0
5/2/2014,0,0,2,1,1,0,0,2,2
6/2/2014,0,1,5,1,2,0,0,0,6
7/2/2014,0,0,2,0,4,0,0,0,1
8/2/2014,0,0,1,2,1,0,0,0,1
9/2/2014,0,0,1,0,2,0,0,0,1
10/2/2014,0,0,1,0,2,1,0,0,0
11/2/2014,0,0,2,0,8,0,0,0,1
12/2/2014,0,0,2,1,2,0,0,0,4
13/02/2014,0,0,4,15,5,0,1,0,1
14/02/2014,0,1,3,1,2,0,0,1,0
15/02/2014,0,0,0,0,2,0,0,0,2
16/02/2014,0,0,0,0,2,0,0,0,1
17/02/2014,0,0,2,0,2,1,0,0,2
18/02/2014,0,0,2,1,5,1,0,0,1
19/02/2014,0,0,3,5,5,0,0,0,2
20/02/2014,0,0,1,5,2,0,0,0,1
21/02/2014,0,0,1,3,9,0,0,0,1
22/02/2014,0,0,0,2,1,0,0,0,0
23/02/2014,0,0,0,1,2,0,0,1,0
24/02/2014,0,0,3,5,4,1,0,0,0
25/02/2014,0,0,3,5,7,0,0,1,0
26/02/2014,0,0,2,7,4,0,0,0,0
27/02/2014,0,0,0,4,6,0,0,0,1
28/02/2014,0,0,1,4,7,0,0,0,1
1/3/2014,0,0,0,5,6,0,0,0,3
2/3/2014,0,0,0,4,1,0,0,0,0
3/3/2014,0,0,0,2,5,0,0,0,3
4/3/2014,0,0,0,4,4,0,0,0,1
5/3/2014,0,0,2,2,2,0,0,0,1
6/3/2014,0,0,2,3,2,0,0,0,0
7/3/2014,0,0,3,3,5,0,0,0,1
8/3/2014,0,0,1,2,7,0,0,0,1
9/3/2014,0,0,0,3,12,0,0,1,0
10/3/2014,0,0,2,5,6,2,0,0,1
11/3/2014,0,0,1,1,11,0,0,1,4
12/3/2014,0,0,2,0,9,0,0,0,1
13/03/2014,0,0,2,0,3,0,0,1,5
14/03/2014,0,0,4,4,7,0,0,0,3
15/03/2014,0,0,0,4,4,0,0,0,1
16/03/2014,0,0,0,1,4,0,0,0,1
17/03/2014,0,0,1,8,11,1,0,0,2
18/03/2014,0,0,3,0,9,0,0,0,1
19/03/2014,0,0,2,3,4,0,0,0,3
20/03/2014,0,0,0,1,9,0,0,0,2
21/03/2014,0,0,1,2,3,0,0,0,1
22/03/2014,0,0,0,0,6,0,0,0,0
23/03/2014,0,0,0,1,4,0,0,0,0
24/03/2014,0,0,2,1,3,3,0,0,1
25/03/2014,0,0,2,2,8,0,0,0,1
26/03/2014,0,0,5,1,1,0,0,0,0
27/03/2014,0,0,3,0,1,0,0,1,1
28/03/2014,0,0,3,2,5,0,0,0,0
29/03/2014,0,0,0,0,0,0,0,0,3
31/03/2014,0,0,2,0,6,1,0,0,1
1/4/2014,0,0,2,2,1,0,0,0,0
2/4/2014,0,0,0,9,2,0,0,0,0
3/4/2014,0,0,1,1,4,0,0,0,0
4/4/2014,0,0,1,0,7,0,0,0,3
5/4/2014,0,0,0,0,1,0,0,0,1
6/4/2014,0,0,0,0,1,0,0,0,0
7/4/2014,0,0,3,1,3,3,0,0,3
8/4/2014,0,0,1,2,7,1,0,0,1
9/4/2014,0,0,2,13,3,0,0,0,0
10/4/2014,0,0,1,0,10,0,0,0,1
11/4/2014,0,0,1,0,3,0,0,0,1
12/4/2014,0,0,0,1,3,0,0,0,0
13/04/2014,0,0,0,1,2,0,0,0,0
14/04/2014,0,0,0,0,6,1,0,0,3
15/04/2014,0,0,2,1,6,0,0,0,0
16/04/2014,0,0,3,0,8,0,0,0,1
17/04/2014,0,0,1,0,5,0,1,0,0
18/04/2014,0,0,0,0,2,0,0,0,0
19/04/2014,0,0,0,0,2,0,0,0,1
20/04/2014,0,0,0,0,3,0,1,0,2
21/04/2014,0,0,0,0,4,1,0,0,0
22/04/2014,0,0,2,0,5,0,0,0,1
23/04/2014,0,0,1,1,4,0,0,0,2
24/04/2014,0,0,2,0,1,0,0,0,4
25/04/2014,0,0,3,1,6,0,0,0,7
26/04/2014,0,0,0,0,4,0,0,0,1
27/04/2014,0,0,0,0,4,0,0,0,0
28/04/2014,0,0,1,1,1,1,0,0,6
29/04/2014,0,0,3,2,6,0,0,0,4
30/04/2014,0,0,0,0,11,0,0,0,8
1/5/2014,0,0,0,0,9,0,0,0,8
2/5/2014,0,0,3,0,1,0,1,0,10
3/5/2014,0,0,1,0,2,0,0,0,1
4/5/2014,0,0,0,0,1,0,0,0,1
5/5/2014,0,0,1,1,7,2,0,0,8
6/5/2014,0,0,5,4,12,0,0,0,9
7/5/2014,0,0,1,0,7,0,0,0,6
8/5/2014,0,0,2,0,9,0,0,0,7
9/5/2014,0,0,1,1,4,0,0,0,10
10/5/2014,0,0,0,1,4,0,0,0,2
11/5/2014,0,0,0,2,4,0,0,1,0
12/5/2014,0,0,1,1,3,2,0,0,8
13/05/2014,0,0,1,1,8,0,0,0,12
14/05/2014,0,0,0,2,4,0,0,0,7
15/05/2014,0,0,0,3,7,0,0,0,7
16/05/2014,0,0,2,2,4,0,0,1,8
17/05/2014,0,0,0,0,1,0,0,3,0
18/05/2014,0,0,0,4,5,0,0,0,1
19/05/2014,0,0,4,0,2,2,0,2,0
20/05/2014,0,0,5,0,14,0,0,0,7
21/05/2014,0,0,2,3,4,0,0,2,6
22/05/2014,0,0,3,0,3,0,1,0,7
23/05/2014,0,0,3,0,5,0,0,0,6
24/05/2014,0,0,0,0,2,0,0,0,1
25/05/2014,0,0,0,6,3,0,0,0,1
26/05/2014,0,0,0,0,1,0,0,0,6
27/05/2014,0,0,1,0,7,1,0,1,6
28/05/2014,0,0,1,4,1,0,0,0,9
29/05/2014,0,0,3,0,0,0,2,0,8
30/05/2014,0,0,0,0,4,0,0,0,10
31/05/2014,0,0,1,1,2,0,0,0,1
2/6/2014,0,0,2,0,5,1,1,1,10
3/6/2014,0,0,0,0,7,0,0,0,9
4/6/2014,0,0,0,0,8,0,0,0,8
5/6/2014,0,0,0,0,8,0,0,0,3
6/6/2014,0,0,1,0,3,0,0,0,2
7/6/2014,0,0,0,0,7,0,0,0,1
8/6/2014,0,0,0,0,7,0,0,0,1
9/6/2014,0,0,0,0,5,2,0,0,3
10/6/2014,0,0,2,0,7,0,0,0,1
11/6/2014,0,0,0,0,5,0,0,0,1
12/6/2014,0,0,1,0,8,0,0,0,4
13/06/2014,0,0,1,0,1,0,0,1,3
14/06/2014,0,0,0,0,1,0,0,0,0
15/06/2014,0,0,0,0,0,0,0,0,6
16/06/2014,0,0,1,0,1,0,0,0,2
17/06/2014,0,1,2,0,6,0,0,0,1
18/06/2014,0,0,0,0,4,0,0,0,3
19/06/2014,0,0,0,0,7,0,0,0,2
20/06/2014,0,0,0,1,11,0,0,0,2
21/06/2014,0,0,0,0,8,0,0,3,1
22/06/2014,0,0,0,0,5,0,0,0,0
23/06/2014,0,0,2,0,4,2,0,0,2
24/06/2014,0,1,1,0,8,0,0,0,6
25/06/2014,0,0,0,1,8,0,0,1,3
26/06/2014,0,0,0,8,8,0,0,0,0
27/06/2014,0,0,0,1,4,0,0,0,2
28/06/2014,0,0,0,0,10,0,0,0,1
29/06/2014,0,0,0,0,9,0,1,0,1
30/06/2014,0,0,0,0,14,1,0,0,1
1/7/2014,0,0,2,0,11,0,1,0,3
2/7/2014,0,0,0,0,6,0,1,0,1
3/7/2014,0,0,0,2,6,0,0,0,4
4/7/2014,0,0,0,0,7,0,0,0,0
5/7/2014,0,0,1,0,10,0,0,0,1
6/7/2014,0,0,0,0,6,0,0,0,1
7/7/2014,0,0,1,0,8,1,1,1,0
8/7/2014,0,1,0,1,14,0,1,0,2
9/7/2014,0,0,1,2,13,0,0,0,4
10/7/2014,0,0,0,0,3,0,1,0,0
11/7/2014,0,1,0,0,19,0,1,0,4
12/7/2014,0,0,0,0,7,0,0,0,0
13/07/2014,0,0,0,0,9,0,1,0,0
14/07/2014,0,0,0,2,7,2,0,0,3
15/07/2014,0,0,1,0,15,0,1,0,2
16/07/2014,0,0,0,2,13,0,1,0,2
17/07/2014,0,0,1,0,6,0,0,0,2
18/07/2014,0,0,0,2,10,0,2,0,5
19/07/2014,0,0,0,1,10,0,0,0,1
20/07/2014,0,0,0,0,5,0,0,0,0
21/07/2014,0,0,0,0,22,1,0,0,2
22/07/2014,0,0,1,0,5,0,0,0,2
23/07/2014,0,0,1,0,9,0,0,0,3
24/07/2014,0,0,2,1,5,0,1,0,6
25/07/2014,0,0,0,0,11,0,0,0,7
26/07/2014,0,0,0,1,5,0,1,0,0
27/07/2014,0,0,1,0,9,0,0,0,2
28/07/2014,0,0,0,0,5,2,0,0,1
29/07/2014,0,0,0,0,13,0,0,0,2
30/07/2014,0,0,0,0,11,0,0,0,1
